State_Result_ID,Release Period,State,Measure ID,Bottom-box Percentage,Middle-box Percentage,Top-box Percentage
582,07_2016,DC,H_COMP_1,10,20,70
583,07_2016,DC,H_COMP_2,6,17,77
584,07_2016,DC,H_COMP_3,19,29,52
585,07_2016,DC,H_COMP_5,26,19,55
586,07_2016,DC,H_COMP_6,19,0,81
587,07_2016,DC,H_COMP_7,9,49,42
588,07_2016,DC,H_HSP_RATING,14,28,58
589,07_2016,DC,H_QUIET_HSP,16,30,54
590,07_2016,DC,H_RECMND,10,30,60
591,07_2016,DE,H_CLEAN_HSP,9,21,70
592,07_2016,DE,H_COMP_1,4,16,80
593,07_2016,DE,H_COMP_2,5,16,79
594,07_2016,DE,H_COMP_3,8,24,68
595,07_2016,DE,H_COMP_5,20,16,64
596,07_2016,DE,H_COMP_6,13,0,87
597,07_2016,DE,H_COMP_7,5,43,52
598,07_2016,DE,H_HSP_RATING,9,21,70
599,07_2016,DE,H_QUIET_HSP,11,33,56
600,07_2016,DE,H_RECMND,5,26,69
601,07_2016,FL,H_CLEAN_HSP,11,20,69
602,07_2016,FL,H_COMP_1,6,18,76
603,07_2016,FL,H_COMP_2,6,16,78
604,07_2016,FL,H_COMP_3,12,25,63
605,07_2016,FL,H_COMP_5,21,17,62
606,07_2016,FL,H_COMP_6,16,0,84
607,07_2016,FL,H_COMP_7,7,44,49
608,07_2016,FL,H_HSP_RATING,10,22,68
609,07_2016,FL,H_QUIET_HSP,11,30,59
610,07_2016,FL,H_RECMND,7,24,69
611,07_2016,GA,H_CLEAN_HSP,10,18,72
612,07_2016,GA,H_COMP_1,5,16,79
613,07_2016,GA,H_COMP_2,5,12,83
614,07_2016,GA,H_COMP_3,10,23,67
615,07_2016,GA,H_COMP_5,20,16,64
616,07_2016,GA,H_COMP_6,15,0,85
617,07_2016,GA,H_COMP_7,6,43,51
618,07_2016,GA,H_HSP_RATING,8,21,71
619,07_2016,GA,H_QUIET_HSP,7,25,68
620,07_2016,GA,H_RECMND,5,25,70
621,07_2016,HI,H_CLEAN_HSP,5,19,76
622,07_2016,HI,H_COMP_1,4,15,81
623,07_2016,HI,H_COMP_2,4,14,82
624,07_2016,HI,H_COMP_3,8,22,70
625,07_2016,HI,H_COMP_5,17,17,66
626,07_2016,HI,H_COMP_6,17,0,83
627,07_2016,HI,H_COMP_7,5,41,54
628,07_2016,HI,H_HSP_RATING,7,23,70
629,07_2016,HI,H_QUIET_HSP,10,30,60
630,07_2016,HI,H_RECMND,4,23,73
631,07_2016,IA,H_CLEAN_HSP,5,16,79
632,07_2016,IA,H_COMP_1,2,16,82
633,07_2016,IA,H_COMP_2,3,13,84
634,07_2016,IA,H_COMP_3,5,23,72
635,07_2016,IA,H_COMP_5,14,19,67
636,07_2016,IA,H_COMP_6,12,0,88
637,07_2016,IA,H_COMP_7,3,41,56
638,07_2016,IA,H_HSP_RATING,5,19,76
639,07_2016,IA,H_QUIET_HSP,6,28,66
640,07_2016,IA,H_RECMND,3,23,74
641,07_2016,ID,H_CLEAN_HSP,6,16,78
642,07_2016,ID,H_COMP_1,3,16,81
643,07_2016,ID,H_COMP_2,3,13,84
644,07_2016,ID,H_COMP_3,5,20,75
645,07_2016,ID,H_COMP_5,14,17,69
646,07_2016,ID,H_COMP_6,11,0,89
647,07_2016,ID,H_COMP_7,4,40,56
648,07_2016,ID,H_HSP_RATING,5,21,74
649,07_2016,ID,H_QUIET_HSP,7,30,63
650,07_2016,ID,H_RECMND,3,24,73
651,07_2016,IL,H_CLEAN_HSP,8,17,75
652,07_2016,IL,H_COMP_1,4,16,80
653,07_2016,IL,H_COMP_2,4,15,81
654,07_2016,IL,H_COMP_3,9,23,68
655,07_2016,IL,H_COMP_5,18,17,65
656,07_2016,IL,H_COMP_6,13,0,87
657,07_2016,IL,H_COMP_7,5,43,52
658,07_2016,IL,H_HSP_RATING,7,22,71
659,07_2016,IL,H_QUIET_HSP,9,30,61
660,07_2016,IL,H_RECMND,5,24,71
661,07_2016,IN,H_CLEAN_HSP,7,17,76
662,07_2016,IN,H_COMP_1,3,15,82
663,07_2016,IN,H_COMP_2,3,15,82
664,07_2016,IN,H_COMP_3,6,23,71
665,07_2016,IN,H_COMP_5,17,18,65
666,07_2016,IN,H_COMP_6,12,0,88
667,07_2016,IN,H_COMP_7,5,40,55
668,07_2016,IN,H_HSP_RATING,6,19,75
669,07_2016,IN,H_QUIET_HSP,8,30,62
670,07_2016,IN,H_RECMND,4,23,73
671,07_2016,KS,H_CLEAN_HSP,6,17,77
672,07_2016,KS,H_COMP_1,3,15,82
673,07_2016,KS,H_COMP_2,3,12,85
674,07_2016,KS,H_COMP_3,6,21,73
675,07_2016,KS,H_COMP_5,15,19,66
676,07_2016,KS,H_COMP_6,13,0,87
677,07_2016,KS,H_COMP_7,4,40,56
678,07_2016,KS,H_HSP_RATING,5,18,77
679,07_2016,KS,H_QUIET_HSP,6,27,67
680,07_2016,KS,H_RECMND,3,21,76
681,07_2016,KY,H_CLEAN_HSP,8,17,75
682,07_2016,KY,H_COMP_1,4,15,81
683,07_2016,KY,H_COMP_2,3,13,84
684,07_2016,KY,H_COMP_3,8,23,69
685,07_2016,KY,H_COMP_5,17,17,66
686,07_2016,KY,H_COMP_6,13,0,87
