State_Result_ID,Release Period,State,Measure ID,Bottom-box Percentage,Middle-box Percentage,Top-box Percentage
1,07_2015,AK,H_CLEAN_HSP,8,22,70
2,07_2015,AK,H_COMP_1,9,17,74
3,07_2015,AK,H_COMP_2,10,15,75
4,07_2015,AK,H_COMP_3,11,21,68
5,07_2015,AK,H_COMP_5,19,17,64
6,07_2015,AK,H_COMP_6,15,0,85
7,07_2015,AK,H_COMP_7,8,43,49
8,07_2015,AK,H_HSP_RATING,13,22,65
9,07_2015,AK,H_QUIET_HSP,8,34,58
10,07_2015,AK,H_RECMND,7,23,70
11,07_2015,AL,H_CLEAN_HSP,10,18,72
12,07_2015,AL,H_COMP_1,5,14,81
13,07_2015,AL,H_COMP_2,3,11,86
14,07_2015,AL,H_COMP_3,10,21,69
15,07_2015,AL,H_COMP_5,17,16,67
16,07_2015,AL,H_COMP_6,15,0,85
17,07_2015,AL,H_COMP_7,6,41,53
18,07_2015,AL,H_HSP_RATING,7,20,73
19,07_2015,AL,H_QUIET_HSP,6,23,71
20,07_2015,AL,H_RECMND,5,24,71
21,07_2015,AR,H_CLEAN_HSP,8,18,74
22,07_2015,AR,H_COMP_1,5,15,80
23,07_2015,AR,H_COMP_2,4,12,84
24,07_2015,AR,H_COMP_3,9,22,69
25,07_2015,AR,H_COMP_5,18,17,65
26,07_2015,AR,H_COMP_6,17,0,83
27,07_2015,AR,H_COMP_7,6,44,50
28,07_2015,AR,H_HSP_RATING,8,22,70
29,07_2015,AR,H_QUIET_HSP,7,26,67
30,07_2015,AR,H_RECMND,5,27,68
31,07_2015,AZ,H_CLEAN_HSP,10,20,70
32,07_2015,AZ,H_COMP_1,5,18,77
33,07_2015,AZ,H_COMP_2,5,17,78
34,07_2015,AZ,H_COMP_3,9,25,66
35,07_2015,AZ,H_COMP_5,18,18,64
36,07_2015,AZ,H_COMP_6,13,0,87
37,07_2015,AZ,H_COMP_7,6,44,50
38,07_2015,AZ,H_HSP_RATING,8,22,70
39,07_2015,AZ,H_QUIET_HSP,11,31,58
40,07_2015,AZ,H_RECMND,6,24,70
41,07_2015,CA,H_CLEAN_HSP,10,20,70
42,07_2015,CA,H_COMP_1,6,19,75
43,07_2015,CA,H_COMP_2,6,16,78
44,07_2015,CA,H_COMP_3,12,26,62
45,07_2015,CA,H_COMP_5,20,18,62
46,07_2015,CA,H_COMP_6,16,0,84
47,07_2015,CA,H_COMP_7,7,44,49
48,07_2015,CA,H_HSP_RATING,9,23,68
49,07_2015,CA,H_QUIET_HSP,16,32,52
50,07_2015,CA,H_RECMND,6,24,70
51,07_2015,CO,H_CLEAN_HSP,7,18,75
52,07_2015,CO,H_COMP_1,4,17,79
53,07_2015,CO,H_COMP_2,4,15,81
54,07_2015,CO,H_COMP_3,7,24,69
55,07_2015,CO,H_COMP_5,16,17,67
56,07_2015,CO,H_COMP_6,12,0,88
57,07_2015,CO,H_COMP_7,5,40,55
58,07_2015,CO,H_HSP_RATING,6,20,74
59,07_2015,CO,H_QUIET_HSP,8,29,63
60,07_2015,CO,H_RECMND,4,22,74
61,07_2015,CT,H_CLEAN_HSP,8,20,72
62,07_2015,CT,H_COMP_1,4,17,79
63,07_2015,CT,H_COMP_2,5,15,80
64,07_2015,CT,H_COMP_3,10,25,65
65,07_2015,CT,H_COMP_5,19,18,63
66,07_2015,CT,H_COMP_6,14,0,86
67,07_2015,CT,H_COMP_7,5,45,50
68,07_2015,CT,H_HSP_RATING,8,24,68
69,07_2015,CT,H_QUIET_HSP,15,33,52
70,07_2015,CT,H_RECMND,5,24,71
71,07_2015,DC,H_CLEAN_HSP,16,21,63
72,07_2015,DC,H_COMP_1,10,20,70
73,07_2015,DC,H_COMP_2,7,16,77
74,07_2015,DC,H_COMP_3,19,27,54
75,07_2015,DC,H_COMP_5,25,18,57
76,07_2015,DC,H_COMP_6,21,0,79
